n_gen;max_fitness;avg_fitness;best_individual_gain
0;90.55641489804765;6.401747218499711;62.80000000000034
1;91.34855887687002;6.936903786203502;71.20000000000027
2;88.13248350911168;7.796800885517134;43.00000000000029
3;90.55641489804765;8.030923916199573;62.80000000000034
4;90.42873816020958;10.351263806021194;64.00000000000034
5;90.73052820481507;13.342197098264325;63.40000000000034
6;90.40510580438044;13.26144325594094;63.40000000000034
7;90.73052820481507;15.292534667868757;63.40000000000034
8;90.40510580438044;19.70479232033973;63.40000000000034
9;90.224107874517;18.17243082917655;63.40000000000034
10;89.07869752242703;16.952496022638716;54.40000000000032
11;90.224107874517;17.324652890034358;63.40000000000034
12;90.224107874517;18.96424700865939;63.40000000000034
13;90.224107874517;15.362554543304597;63.40000000000034
14;87.60672037186033;10.856564133457377;39.40000000000028
15;88.54556065373065;8.935233471305835;46.0000000000003
16;88.6252379787581;14.171087997949641;49.000000000000306
17;88.6252379787581;12.671441584620252;49.000000000000306
18;88.6252379787581;8.65008585126386;49.000000000000306
19;90.4387364548416;10.71485982914724;59.80000000000033
20;91.22772932632856;12.903335101168881;67.00000000000031
21;89.31167900420625;7.149384602357067;50.80000000000031
22;89.31167900420625;9.502423887546755;50.80000000000031
23;89.53310261863332;9.108707457860573;53.200000000000315
24;89.31167900420625;7.680747905683929;50.80000000000031
