n_gen;avg_fitness;min_fitness;max_fitness;std_fitness;avg_mut_step_size;std_mut_step_size;best_individual
10;92.55173191207446;92.13740496697304;94.7001335721758;0.36836696449350437;1.4366018541563528;0.3033781208390765;"{'weights_and_biases': array([ 4.05181468, -8.08185327,  2.31921919, ..., -0.47486939,
        5.79511883, -0.42326012]), 'mut_step_size': 1.0735037650424226, 'fitness': 94.7001335721758, 'individual_gain': 98}"
11;92.59610483259485;92.07274631484279;93.48001907417188;0.39103891035897675;1.5346866175766078;0.37087256895260556;"{'weights_and_biases': array([  2.10429537, -13.78068774,   4.37846176, ...,  -3.92196937,
        12.09092254,   3.84624912]), 'mut_step_size': 1.3053842903391992, 'fitness': 92.77237888630937, 'individual_gain': 84}"
12;92.56042134790363;91.9959933129232;93.27274631484279;0.2768966587078442;1.8457439520313244;0.4222613263876573;"{'weights_and_biases': array([ -0.41411979, -13.78068774,   4.37846176, ...,  -7.02921992,
        13.06454476,   3.7044114 ]), 'mut_step_size': 1.2487249598478116, 'fitness': 92.92772932632853, 'individual_gain': 84}"
13;92.6250784879821;91.72482618476617;93.68001907417187;0.5398397087654005;2.106608023292155;0.4852678634948248;"{'weights_and_biases': array([ -2.79961699,  19.58302816,   8.32127862, ..., -32.78691382,
        -5.85899095, -30.5258653 ]), 'mut_step_size': 3.0414628935394337, 'fitness': 93.68001907417187, 'individual_gain': 86}"
14;92.42735868295871;91.60150296873417;93.68001907417187;0.5447040192383716;1.9453671905435752;0.6960253952235607;"{'weights_and_biases': array([ -3.41337972,  20.85508681,   8.51564496, ..., -34.16114478,
        -6.60055641, -32.44558143]), 'mut_step_size': 3.1326952333796774, 'fitness': 93.68001907417187, 'individual_gain': 86}"
15;92.71437545670281;92.13740496697304;93.68001907417187;0.42581684712309437;2.0253148462801422;0.6104802870281565;"{'weights_and_biases': array([ -3.4187624 ,   2.88528959,   2.91949888, ..., -14.16076302,
         5.64222881,  -7.87180436]), 'mut_step_size': 1.55310477806063, 'fitness': 93.68001907417187, 'individual_gain': 86}"
16;92.69869884950708;91.88801221164346;93.48001907417188;0.41109723654996866;1.859209987250127;0.5237978808330853;"{'weights_and_biases': array([-12.62307206,   5.57854568,   7.16218343, ..., -18.89886357,
         4.68570516,  -8.66742093]), 'mut_step_size': 1.831529259937686, 'fitness': 93.4727463148428, 'individual_gain': 84}"
17;92.68084035631915;92.07274631484279;93.68001907417187;0.4035847552109697;1.727942473412196;0.36834399890388586;"{'weights_and_biases': array([-16.87562348,   7.84964972,   8.78804994, ..., -21.47798117,
         4.84765783, -10.8452495 ]), 'mut_step_size': 1.9581104942521879, 'fitness': 93.04317193830046, 'individual_gain': 86}"
18;92.70449439344864;92.13740496697304;93.68001907417187;0.3841246635472416;1.7752662389213347;0.4535234061965616;"{'weights_and_biases': array([ 11.08406059,   6.26126378,   3.32518849, ..., -20.73417214,
        10.91411621, -23.23151118]), 'mut_step_size': 2.4426405899843333, 'fitness': 93.46420156294974, 'individual_gain': 86}"
19;92.57560821172095;91.96956207860757;93.68001907417187;0.454033716131328;1.8702654479038354;0.6089970873060211;"{'weights_and_biases': array([ 11.08406059,   6.26126378,   3.32518849, ..., -20.73417214,
        10.91411621, -23.23151118]), 'mut_step_size': 2.4426405899843333, 'fitness': 93.46420156294974, 'individual_gain': 86}"
20;92.81490775957298;92.27212383121041;93.68001907417187;0.39746943426837367;1.9692581588979965;0.6451048590725666;"{'weights_and_biases': array([ 11.08406059,   6.26126378,   3.32518849, ..., -20.73417214,
        10.91411621, -23.23151118]), 'mut_step_size': 2.4426405899843333, 'fitness': 93.46420156294974, 'individual_gain': 86}"
21;92.84877232642127;92.31240366476763;93.48001907417188;0.3858933978987393;1.8734374248440786;0.6898947118211094;"{'weights_and_biases': array([  5.336635  ,  -4.75944852,   0.24799191, ..., -23.22728651,
         4.77733697,  -6.70842539]), 'mut_step_size': 1.1496884358653292, 'fitness': 93.4727463148428, 'individual_gain': 84}"
22;92.94381121706432;92.50624979919323;93.48001907417188;0.3453354432543762;1.6576561943717918;0.5155596200209116;"{'weights_and_biases': array([  6.59889314,  -5.28698044,   1.52901594, ..., -23.37114137,
         4.77733697,  -5.85997023]), 'mut_step_size': 1.125246668069217, 'fitness': 93.4727463148428, 'individual_gain': 84}"
23;92.68594275878341;91.96889138314542;94.31240366476763;0.4907565993959368;1.5324939553701682;0.5727649620089418;"{'weights_and_biases': array([  9.53850483,  -8.86781729,  -1.1562899 , ..., -26.54308627,
         5.22482824,  -7.52027079]), 'mut_step_size': 1.054517963629227, 'fitness': 94.31240366476763, 'individual_gain': 94}"
24;92.70594276360733;92.16304739758637;93.68001907417187;0.3542049137166365;2.0067723565756976;0.9142326001203046;"{'weights_and_biases': array([-24.95396772,   9.30308495,  10.06929925, ..., -34.29028031,
        -1.42351321,  -5.9106249 ]), 'mut_step_size': 2.131003603214287, 'fitness': 93.68001907417187, 'individual_gain': 86}"
