n_gen;avg_fitness;min_fitness;max_fitness;std_fitness;avg_mut_step_size;std_mut_step_size;best_individual
0;89.95132980060312;85.8769900208616;92.5001335721758;0.9007294446607726;1.0006962696464996;0.02063245529908344;"{'weights_and_biases': array([-1.54680271,  1.50999418,  1.30039861, ..., -0.98005886,
        2.07883445,  0.35503546]), 'mut_step_size': 1.008631738405796, 'fitness': 92.13703951986405, 'individual_gain': 78}"
1;90.47352420445023;89.79605369405454;92.63547959267731;0.8092814364937309;1.0023321850505802;0.040279769738927766;"{'weights_and_biases': array([-1.54680271,  1.50999418,  1.30039861, ..., -0.98005886,
        2.07883445,  0.35503546]), 'mut_step_size': 1.008631738405796, 'fitness': 92.57598249381266, 'individual_gain': 82}"
2;90.94590908975623;89.97065437104557;92.80278772623588;0.8839720840047025;0.9818307957498098;0.058108188773477676;"{'weights_and_biases': array([-1.39397957, -2.48212934,  1.0452024 , ..., -1.4255048 ,
        1.18738261, -0.33541669]), 'mut_step_size': 0.9951028765652672, 'fitness': 92.25873645484157, 'individual_gain': 78}"
3;91.47903117329818;90.25250552318656;92.76956207860756;0.8805166567216341;0.9881409529724463;0.0993061756385206;"{'weights_and_biases': array([-5.78336503, -1.34785904,  5.84645013, ..., -5.38868658,
        8.23482673, -0.8988662 ]), 'mut_step_size': 0.986406228017765, 'fitness': 92.25092391510478, 'individual_gain': 78}"
4;92.06823074281576;91.28001907417188;93.27274631484279;0.45808259828063175;0.9697843577769675;0.1495336321638736;"{'weights_and_biases': array([ 0.63024912, -2.27702253,  0.07164203, ..., -1.57835596,
       -4.865507  ,  0.26272615]), 'mut_step_size': 0.9425355480527456, 'fitness': 93.27274631484279, 'individual_gain': 82}"
5;92.09994748071833;91.40956741322127;93.28001907417188;0.5235455630364001;1.0110130111438322;0.18806054584179172;"{'weights_and_biases': array([-1.74259588, -2.45939461,  4.4823291 , ..., -2.12511584,
        1.23835011,  0.76791343]), 'mut_step_size': 1.0311557729325989, 'fitness': 93.13740496697304, 'individual_gain': 82}"
6;92.08527446311967;91.54772657195336;93.13740496697304;0.4460412132856149;1.0506898230879473;0.3439264744726363;"{'weights_and_biases': array([-1.74259588, -2.45939461,  4.4823291 , ..., -2.12511584,
        1.23835011,  0.76791343]), 'mut_step_size': 1.0311557729325989, 'fitness': 93.13740496697304, 'individual_gain': 82}"
7;92.48001150463647;92.08801221164346;93.27274631484279;0.24988443947775751;0.7916162209618182;0.5563216054824184;"{'weights_and_biases': array([-33.38706767,  -6.40035681,  -5.66443683, ..., -12.02223535,
       -18.65917776,  14.67056243]), 'mut_step_size': 2.0110685601090292, 'fitness': 92.57237888630937, 'individual_gain': 82}"
8;92.62368722453901;92.27603602059675;93.27274631484279;0.23352985911416801;0.8458784968438092;0.5634771004162077;"{'weights_and_biases': array([-33.38706767,  -6.40035681,  -5.66443683, ..., -12.02223535,
       -18.65917776,  14.67056243]), 'mut_step_size': 2.0110685601090292, 'fitness': 92.57237888630937, 'individual_gain': 82}"
9;92.50457160222798;91.70624979919323;93.48001907417188;0.43401917305342647;0.7971504966449443;0.3987272846457901;"{'weights_and_biases': array([ 0.41061495, -3.94876837,  3.32271622, ..., -1.85823376,
       -4.10148225,  4.94690026]), 'mut_step_size': 0.8808997359950149, 'fitness': 93.48001907417188, 'individual_gain': 84}"
10;92.69268930424273;91.96355803717006;94.00956741322126;0.4315894104925151;0.8078370403307531;0.4200547764194594;"{'weights_and_biases': array([ 2.82793409, -1.77600252,  4.21151478, ..., -2.2023303 ,
       -4.13938243,  3.84180339]), 'mut_step_size': 0.794646739413551, 'fitness': 94.00956741322126, 'individual_gain': 90}"
11;92.51584546996402;91.60150296873417;94.00956741322126;0.6210024710103805;0.8164321954388353;0.5773620344962113;"{'weights_and_biases': array([ 2.82793409, -1.77600252,  4.21151478, ..., -2.2023303 ,
       -4.13938243,  3.84180339]), 'mut_step_size': 0.794646739413551, 'fitness': 94.00956741322126, 'individual_gain': 90}"
