n_gen;avg_fitness;min_fitness;max_fitness;std_fitness;avg_mut_step_size;std_mut_step_size;best_individual
0;90.19313338207525;89.79605369405454;92.33740496697304;0.3995495176082008;1.0019666043380817;0.017120840570954244;"{'weights_and_biases': array([ 0.64687183, -0.7945386 , -1.07519269, ...,  0.22285421,
        2.31040692, -0.76964415]), 'mut_step_size': 0.9853751312127857, 'fitness': 92.33740496697304, 'individual_gain': 74}"
1;90.71554838790642;89.79605369405454;93.14250462797223;0.8765947531031416;1.0034473741652883;0.0349304507227138;"{'weights_and_biases': array([-0.72627368, -0.37183497, -0.29514745, ...,  0.27192258,
        0.4825959 ,  0.99965466]), 'mut_step_size': 1.0, 'fitness': 93.14250462797223, 'individual_gain': 84}"
2;91.07219118005605;90.12482618476618;93.14250462797223;0.9344018369639725;1.0048803937256992;0.049387942332167464;"{'weights_and_biases': array([-0.72627368, -0.37183497, -0.29514745, ...,  0.27192258,
        0.4825959 ,  0.99965466]), 'mut_step_size': 1.0, 'fitness': 93.14250462797223, 'individual_gain': 84}"
3;91.96623813525301;90.58936470590373;93.27274631484279;0.6838574104389625;1.0149210571336462;0.03959166391079414;"{'weights_and_biases': array([-0.72627368, -0.37183497, -0.29514745, ...,  0.27192258,
        0.4825959 ,  0.99965466]), 'mut_step_size': 1.0, 'fitness': 93.14250462797223, 'individual_gain': 84}"
4;92.12162590454435;91.33214184093667;93.27274631484279;0.5417899169115481;0.9965696764605018;0.06284026286254114;"{'weights_and_biases': array([-4.21463313,  5.45348863,  6.20209558, ...,  4.960764  ,
        5.32497617,  4.24435638]), 'mut_step_size': 1.0193238770318305, 'fitness': 93.27274631484279, 'individual_gain': 82}"
5;92.00401416052222;90.59605369405453;94.11240366476761;0.6305739880874107;1.030567364365413;0.04438945141970686;"{'weights_and_biases': array([-2.07012956,  0.78911574,  8.69486437, ...,  6.23716489,
        8.76462617,  1.88392614]), 'mut_step_size': 0.9789721540398015, 'fitness': 94.11240366476761, 'individual_gain': 92}"
6;91.99188364169645;90.71859563501553;94.11240366476761;0.6624812052530171;0.996857505804328;0.06487270810986906;"{'weights_and_biases': array([-2.07012956,  0.78911574,  8.69486437, ...,  6.23716489,
        8.76462617,  1.88392614]), 'mut_step_size': 0.9789721540398015, 'fitness': 94.11240366476761, 'individual_gain': 92}"
7;92.27316505296079;91.57964417492167;94.17964417492168;0.5698654969243505;0.9378038828798693;0.08256643103647451;"{'weights_and_biases': array([-4.43074201,  4.12543974,  9.30790736, ...,  3.70768016,
        4.42664728,  5.98078427]), 'mut_step_size': 0.9914322013274209, 'fitness': 94.17964417492168, 'individual_gain': 94}"
8;92.07636433705473;91.23931836898447;94.51240366476762;0.6429500372054348;0.9330917085159794;0.09688379486613642;"{'weights_and_biases': array([-5.68699037,  5.09441452,  9.95680996, ...,  5.51731626,
        6.57904384,  7.48969315]), 'mut_step_size': 0.7668684240897369, 'fitness': 94.51240366476762, 'individual_gain': 96}"
9;92.18367962087225;91.20278772623588;94.51240366476762;0.6025933363903371;0.9065241581167879;0.12178551140534744;"{'weights_and_biases': array([-5.68699037,  5.09441452,  9.95680996, ...,  5.51731626,
        6.57904384,  7.48969315]), 'mut_step_size': 0.7668684240897369, 'fitness': 94.51240366476762, 'individual_gain': 96}"
