n_gen;max_fitness;avg_fitness;best_individual_gain
0;92.54661051127249;35.178757384370506;80.80000000000018
1;93.9021602000491;33.65114326120426;88.00000000000011
2;92.63931836898449;38.03398271392401;82.00000000000017
3;94.14150296873417;39.25083108686949;93.40000000000006
4;94.48246192029869;40.84233049098816;98.20000000000002
5;93.61835757739071;39.51182072044021;85.60000000000014
6;92.81486503108353;48.28398894108419;86.20000000000013
7;93.55010128507693;48.21694766713562;86.80000000000013
8;93.71550493721092;51.179016842397395;91.00000000000009
9;93.4132626283337;50.1728455714733;88.60000000000011
10;92.37766574803521;45.85359127085031;77.20000000000022
11;93.44051778424038;51.80697732722343;91.00000000000009
12;92.53385326087633;47.98498366944922;85.00000000000014
13;93.45995543807335;48.31621886949788;99.4
14;92.69214143983822;52.550109695698666;89.8000000000001
15;94.1359933129232;44.894823530431424;93.40000000000006
16;93.46700044143626;45.022735334850715;87.40000000000012
17;93.34506926914798;38.914840735672755;92.20000000000007
18;93.57173296930547;38.488475785043846;88.60000000000011
19;93.51173296930547;28.462418492528798;88.00000000000011
20;93.84679402095823;41.704771186544065;91.60000000000008
21;93.15399989261955;28.491919490986692;89.8000000000001
22;92.70772657195339;36.20662477378227;79.6000000000002
23;93.18317193830048;34.50330023684816;87.40000000000012
24;91.60413272989426;35.77520222985189;77.80000000000021
