n_gen;max_fitness;avg_fitness;best_individual_gain
0;87.43279945145866;5.8006420966572545;37.00000000000028
1;88.74931473973876;5.810370895701519;47.8000000000003
2;87.43279945145866;8.58405248130752;37.00000000000028
3;87.43279945145866;10.038500859119326;37.00000000000028
4;88.74931473973876;11.263442905458179;47.8000000000003
5;90.05940982990029;13.27107986519475;62.80000000000034
6;90.79095512455318;13.758057918595762;68.8000000000003
7;90.05940982990029;15.35631134683152;62.80000000000034
8;87.43279945145866;17.348406111204152;37.00000000000028
9;90.05940982990029;16.441500411414502;62.80000000000034
10;90.05940982990029;19.758429882680552;62.80000000000034
11;90.05940982990029;18.001827196193663;62.80000000000034
12;88.98206684551657;20.00301113032442;48.400000000000304
13;89.0605177842404;13.594623700774745;47.2000000000003
14;88.93796259441267;16.369719255468695;50.80000000000031
15;89.55454706086825;20.425174300433888;50.80000000000031
16;89.32354791138101;12.038359122138436;53.200000000000315
17;89.17564103761872;11.511609809173011;55.00000000000032
18;88.93796259441267;9.402490595285593;50.80000000000031
19;88.93796259441267;11.805142425219822;50.80000000000031
20;90.84342770252084;8.138081522915677;65.80000000000032
21;90.84342770252084;9.172444845211405;65.80000000000032
22;89.4998287472796;3.417865955255358;54.40000000000032
23;89.4998287472796;7.22808148728821;54.40000000000032
24;89.4998287472796;10.73155312969538;54.40000000000032
