n_gen;max_fitness;avg_fitness;best_individual_gain
0;65.8015212835077;2.897805710715047;-20.0
1;89.36353644806852;3.265449992963897;48.400000000000304
2;84.19269413745882;6.191134973864715;6.400000000000233
3;86.17642065638158;8.502385245988272;21.40000000000024
4;89.36353644806852;11.521186020250013;48.400000000000304
5;92.42226955283408;12.887720409589557;82.60000000000016
6;89.36353644806852;14.12830997262015;48.400000000000304
7;92.42226955283408;16.845923028452543;82.60000000000016
8;92.42226955283408;15.505361968775203;82.60000000000016
9;88.67736716631765;13.849855518556947;47.2000000000003
10;88.67736716631765;14.635268104740259;47.2000000000003
11;90.87750719048564;12.846789749351643;70.00000000000028
12;87.47041085661014;10.584686391392513;34.00000000000027
13;87.47041085661014;13.85325019779983;34.00000000000027
14;86.40901156814172;11.518598665564161;26.800000000000253
15;87.47041085661014;10.396741474943447;34.00000000000027
16;89.18957298262517;12.246315040171341;49.000000000000306
17;90.86957298262516;11.608795096101929;65.80000000000032
18;90.86957298262516;12.010697572921927;65.80000000000032
19;86.0397425546912;8.83021972677004;24.400000000000247
20;86.05195862382048;9.649013130105327;26.800000000000253
21;90.86957298262516;8.975728510394493;65.80000000000032
22;90.8196441749217;9.542404616842136;60.40000000000033
23;90.8196441749217;5.291502504385118;60.40000000000033
24;91.79214184093671;6.227323110812703;70.60000000000028
