n_gen;max_fitness;avg_fitness;best_individual_gain
0;86.87214143983824;8.5007765909813;31.600000000000264
1;88.85297711225778;7.49300680480624;49.60000000000031
2;88.53457939139346;10.031269161234448;44.800000000000296
3;90.59574420258551;10.85236775511109;65.20000000000033
4;89.64302101441449;12.703432322487268;58.00000000000033
5;91.6992564842077;15.736745175840333;74.80000000000024
6;90.59574420258551;17.869862684136784;65.20000000000033
7;90.59574420258551;18.26461578749051;65.20000000000033
8;91.10443510891828;21.905100655788978;72.40000000000026
9;91.10443510891828;18.74456891785952;72.40000000000026
10;91.6992564842077;20.76949183115306;74.80000000000024
11;91.10443510891828;23.269740907853656;72.40000000000026
12;91.10443510891828;15.611865415639604;72.40000000000026
13;91.10443510891828;14.695464986821493;72.40000000000026
14;86.41571182646338;13.26391099473244;29.20000000000026
15;88.00226421822039;12.631404253161415;38.80000000000028
16;87.04042613132765;6.060753431953226;34.00000000000027
17;88.00226421822039;5.138303152309928;38.80000000000028
18;88.00226421822039;3.620604985342549;38.80000000000028
19;88.00226421822039;7.127469882818944;38.80000000000028
20;88.00226421822039;6.95293319584528;38.80000000000028
21;88.14394224923466;9.857082524414128;39.40000000000028
22;89.64667673282854;10.846593371583564;53.200000000000315
23;88.8070404150784;7.595641692633674;43.60000000000029
24;91.7501190770195;8.064472637578081;74.20000000000024
