n_gen;avg_fitness;min_fitness;max_fitness;std_fitness;avg_mut_step_size;std_mut_step_size;best_individual
0;52.89773278662596;30.185869468174936;86.85060701409174;17.092642180319505;0.9952190418669034;0.026001677672896403;"{'weights_and_biases': array([-0.71915627, -0.85880467,  0.77958137, ...,  0.06628108,
        2.27766499,  2.07672239]), 'mut_step_size': 0.9871370654195846, 'fitness': 86.56755198344948, 'individual_gain': 28}"
1;72.14081252575353;65.90417543756777;89.25060701409174;7.179842111525776;0.9863810667746047;0.04943659167091833;"{'weights_and_biases': array([-0.71915627, -0.85880467,  0.77958137, ...,  0.06628108,
        2.27766499,  2.07672239]), 'mut_step_size': 0.9871370654195848, 'fitness': 89.25060701409174, 'individual_gain': 50}"
2;74.62761373552522;65.99858512203885;89.38322890233343;7.86813628065224;0.9715041148591208;0.06729133416743685;"{'weights_and_biases': array([-0.14213564, -1.92667714,  1.96618707, ...,  0.10461105,
        2.27766499,  1.3296597 ]), 'mut_step_size': 0.9391345717282987, 'fitness': 89.38322890233343, 'individual_gain': 50}"
3;71.79502252131171;65.85581436587435;88.96755198344948;7.606718724838912;0.9525297046244516;0.08981233696451818;"{'weights_and_biases': array([-6.936755  ,  7.226083  , -3.63817196, ...,  3.41219422,
       -3.53743731, -3.64604448]), 'mut_step_size': 1.0081389255951865, 'fitness': 88.96755198344948, 'individual_gain': 52}"
4;73.3665643354346;65.85581436587435;89.85982874727956;7.9838229915015235;0.9584897684338047;0.10858427924200366;"{'weights_and_biases': array([-2.77942301,  1.21404414, -2.10765842, ...,  4.16618169,
        0.83860792,  3.78910761]), 'mut_step_size': 0.9329677475219879, 'fitness': 89.85982874727956, 'individual_gain': 58}"
5;77.18912249971308;66.00106343805332;89.85982874727956;7.66461342610573;0.9687192314558636;0.12661267669204881;"{'weights_and_biases': array([-2.77942301,  1.21404414, -2.10765842, ...,  4.16618169,
        0.83860792,  3.78910761]), 'mut_step_size': 0.9329677475219879, 'fitness': 89.85982874727956, 'individual_gain': 58}"
6;75.70951340632709;65.62668021042299;90.52235775665096;9.361855444612603;0.9773669509224381;0.132004811480474;"{'weights_and_biases': array([-4.25847411,  4.15919013, -6.03382465, ...,  2.98434542,
        0.1697544 ,  1.73015909]), 'mut_step_size': 0.9715356975294545, 'fitness': 90.39140997390336, 'individual_gain': 66}"
7;75.97621032602747;65.9669137782012;88.9710543823898;8.892204230909833;0.9882077243098221;0.1569569850835868;"{'weights_and_biases': array([-14.00092593,  13.84362955,  -9.75860443, ...,   7.07698362,
       -11.6750968 ,  -7.49885696]), 'mut_step_size': 1.0406976739919291, 'fitness': 88.9710543823898, 'individual_gain': 48}"
8;85.6032235252769;75.07041085661011;89.25060701409174;3.7699883221506836;0.7767328521081309;0.17829895576884236;"{'weights_and_biases': array([-30.23545043,  46.76476553, -11.93619645, ..., -10.88884811,
       -21.20797459, -20.47373199]), 'mut_step_size': 0.982791221906442, 'fitness': 89.25060701409174, 'individual_gain': 50}"
9;88.15320439554682;87.18322890233343;90.05060701409174;0.5588131852813252;0.715996588002274;0.182280330488862;"{'weights_and_biases': array([-38.35818565,  38.48383541, -24.85542724, ..., -10.30816723,
       -40.35999527, -29.44441586]), 'mut_step_size': 0.45859213479748956, 'fitness': 90.05060701409174, 'individual_gain': 58}"
10;88.52944234521192;86.82873816020954;90.44935744741228;0.7968164879709497;0.6096246484620838;0.19208946508512642;"{'weights_and_biases': array([-36.31760296,  32.44829658, -28.74185932, ...,  -4.63597688,
       -42.7695431 , -25.91924102]), 'mut_step_size': 0.3937096762934313, 'fitness': 90.44935744741228, 'individual_gain': 64}"
11;87.97977798667714;84.63248350911165;90.44935744741228;1.423593641118949;0.6024952789490144;0.20904875137990708;"{'weights_and_biases': array([-36.31760296,  32.44829658, -28.74185932, ...,  -4.63597688,
       -42.7695431 , -25.91924102]), 'mut_step_size': 0.3937096762934313, 'fitness': 90.44935744741228, 'individual_gain': 64}"
12;88.37013779417744;86.82873816020954;92.58322890233343;1.131329582531499;0.5637486011509376;0.18241563407273717;"{'weights_and_biases': array([-59.92549711,  52.79758265, -33.75009758, ..., -12.35837741,
       -59.57270822, -45.1240855 ]), 'mut_step_size': 0.3915801086732986, 'fitness': 92.58322890233343, 'individual_gain': 82}"
13;88.98338090377032;86.88649699436172;90.82405089685369;1.0985477031770168;0.5469744844295344;0.15555129229220985;"{'weights_and_biases': array([-64.94075395,  59.48564711, -32.70499964, ..., -11.83731169,
       -62.58728092, -53.68800495]), 'mut_step_size': 0.49906251360458137, 'fitness': 90.82405089685369, 'individual_gain': 64}"
14;89.34510325299541;87.48649699436173;91.38322890233343;1.04015376997433;0.4840838995296732;0.11349173201837155;"{'weights_and_biases': array([-65.12434354,  59.35217895, -32.65395362, ..., -12.44446205,
       -61.27598937, -53.64553698]), 'mut_step_size': 0.5536991484643032, 'fitness': 91.38322890233343, 'individual_gain': 70}"
15;89.78749208472391;88.49463815194544;91.58322890233343;0.9903752109737104;0.4614092117115458;0.1648175756894566;"{'weights_and_biases': array([-94.98289929,  89.77646768, -44.9659588 , ..., -10.87769289,
       -97.84216172, -88.38269025]), 'mut_step_size': 0.20512933915479264, 'fitness': 91.58322890233343, 'individual_gain': 72}"
16;89.01377151928783;86.98322890233342;91.58322890233343;1.312998703013876;0.42183497086101857;0.2359978635873122;"{'weights_and_biases': array([-94.98289929,  89.77646768, -44.9659588 , ..., -10.87769289,
       -97.84216172, -88.38269025]), 'mut_step_size': 0.20512933915479264, 'fitness': 91.58322890233343, 'individual_gain': 72}"
17;89.2549876167666;87.18322890233343;90.82405089685369;1.1591799337552529;0.397097620991345;0.29502184319519303;"{'weights_and_biases': array([-64.79842187,  58.53628778, -33.65471512, ..., -11.82938539,
       -62.614105  , -54.3870997 ]), 'mut_step_size': 0.5604186613202253, 'fitness': 90.82405089685369, 'individual_gain': 64}"
18;88.79274227805395;87.00763751052513;90.82405089685369;1.2571708215788644;0.48882258982790233;0.28210696272584224;"{'weights_and_biases': array([-63.33507992,  58.37670322, -33.17260699, ..., -11.3204082 ,
       -62.67218395, -55.98323184]), 'mut_step_size': 0.5526308014852539, 'fitness': 90.82405089685369, 'individual_gain': 64}"
19;89.33073182512213;87.82619038813074;90.82405089685369;0.9327595728382018;0.3574667364561213;0.25703569830698086;"{'weights_and_biases': array([-148.61614966,  156.00334323,  -65.76023471, ...,  -11.99354531,
       -147.86452885, -142.43745455]), 'mut_step_size': 0.022464981035874743, 'fitness': 90.64742736117438, 'individual_gain': 64}"
20;88.79761308164883;86.13070308686622;90.82405089685369;1.6098427444372154;0.33482413400220845;0.27098673632481235;"{'weights_and_biases': array([-148.61614966,  156.00334323,  -65.76023471, ...,  -11.99354531,
       -147.86452885, -142.43745455]), 'mut_step_size': 0.022464981035874743, 'fitness': 90.64742736117438, 'individual_gain': 64}"
21;89.1071257477864;87.1717214797693;90.98322890233342;1.1066347765347322;0.33879146319485914;0.29683662433472;"{'weights_and_biases': array([-76.99572385,  76.53956475, -38.75218736, ..., -10.57648736,
       -83.35816033, -73.76730906]), 'mut_step_size': 0.21537152842989604, 'fitness': 90.98322890233342, 'individual_gain': 66}"
22;89.3842033881844;87.05060701409174;91.38322890233343;1.1867360362084318;0.3061448981444479;0.16760431069042114;"{'weights_and_biases': array([-77.54706268,  76.03055293, -38.8217339 , ..., -10.37636932,
       -83.81716864, -73.65257348]), 'mut_step_size': 0.21991710874522752, 'fitness': 91.35262782095373, 'individual_gain': 74}"
23;89.20982290976241;87.07307397402958;91.04416263053517;1.121503916860255;0.36813119696960245;0.1919226255924083;"{'weights_and_biases': array([-64.6583892 ,  62.80403323, -34.88032265, ...,  -7.96974898,
       -63.75071363, -66.5589046 ]), 'mut_step_size': 0.3805428706737902, 'fitness': 91.04416263053517, 'individual_gain': 70}"
24;89.92282742021959;88.49736666659864;91.04416263053517;0.7134974323046444;0.4446747699748074;0.1329762789894942;"{'weights_and_biases': array([-65.28683787,  62.96271782, -34.64849029, ...,  -8.06905508,
       -63.84770751, -66.12250603]), 'mut_step_size': 0.37586898534999785, 'fitness': 91.04416263053517, 'individual_gain': 70}"
