n_gen;avg_fitness;min_fitness;max_fitness;std_fitness;avg_mut_step_size;std_mut_step_size;best_individual
0;60.7722951677331;39.35809292906188;84.38939992297534;8.81002653484165;0.9967686003936096;0.01994224158204018;"{'weights_and_biases': array([-0.54106667,  0.00836196,  0.08897567, ...,  0.24925897,
       -0.72303483,  0.13030412]), 'mut_step_size': 0.9987165366815078, 'fitness': 84.38939992297534, 'individual_gain': 6}"
1;70.93801314171077;65.85581436587435;88.9335319430667;6.611495299446742;0.9844910829394291;0.046606500066178565;"{'weights_and_biases': array([ 1.43555371,  0.04489961, -1.08412746, ...,  0.38891603,
        0.62206595, -1.28223726]), 'mut_step_size': 1.0509788161833262, 'fitness': 88.9335319430667, 'individual_gain': 48}"
2;72.18929510277562;65.64911428328526;88.9335319430667;7.474529014297014;0.9925079139833918;0.07610563421408992;"{'weights_and_biases': array([ 2.61850241, -0.55839208, -1.14208621, ...,  1.55062156,
        1.87529529, -2.42035609]), 'mut_step_size': 1.100220072116059, 'fitness': 88.9335319430667, 'individual_gain': 48}"
3;82.27913931315135;74.90417543756777;89.5335319430667;5.790658940358642;1.0539701164056043;0.09666086776986067;"{'weights_and_biases': array([-1.50578813,  2.712823  , -0.80478928, ..., -0.76708014,
        0.63763459,  1.01768868]), 'mut_step_size': 0.9412426099671407, 'fitness': 89.5335319430667, 'individual_gain': 54}"
4;86.11336664932465;75.10010264641751;89.13070308686622;3.4307322814846173;1.1222952953624195;0.0588739906531234;"{'weights_and_biases': array([ 3.86339885, -0.80610446, -4.62496345, ..., -2.87283188,
        1.84278371, -3.03871662]), 'mut_step_size': 0.967911779527725, 'fitness': 88.99140997390337, 'individual_gain': 52}"
5;86.89233184242357;84.16811752271649;89.45060701409174;1.5806965950864393;1.1414979888138603;0.08164750369516768;"{'weights_and_biases': array([ 3.86339885, -0.80610446, -4.62496345, ..., -2.87283188,
        1.84278371, -3.03871662]), 'mut_step_size': 0.967911779527725, 'fitness': 88.99140997390337, 'individual_gain': 52}"
6;87.08507111599607;75.17991706964764;91.04416263053517;2.142860764047999;1.150250901852565;0.08715613824498848;"{'weights_and_biases': array([ 4.13736012,  0.15516641, -1.53486146, ...,  4.31371407,
        2.58747612, -7.20020639]), 'mut_step_size': 1.177361266347626, 'fitness': 91.04416263053517, 'individual_gain': 70}"
7;86.0075604462179;74.90417543756777;90.36811752271649;4.189159344643163;1.119725303413883;0.11018592150800684;"{'weights_and_biases': array([ 4.80045159,  0.08637863, -1.40353907, ...,  3.82092007,
        4.28337411, -6.78534511]), 'mut_step_size': 1.1555726621937537, 'fitness': 90.36811752271649, 'individual_gain': 62}"
8;87.13127719831947;84.02497518017191;91.47574420258547;2.0239699715507076;1.1341979873683772;0.1352406520676933;"{'weights_and_biases': array([ 1.90698389, -3.69041413, -2.68176655, ...,  2.21636639,
        0.75422881, -1.9069824 ]), 'mut_step_size': 1.1111376790966618, 'fitness': 91.47574420258547, 'individual_gain': 74}"
9;86.87613983765513;83.96755198344948;90.1335319430667;1.892355335221788;1.1380672943927364;0.16108049607074829;"{'weights_and_biases': array([ 13.16993249,  -0.78711597,  -6.0759925 , ...,   7.84777374,
        -6.10624256, -15.13701304]), 'mut_step_size': 0.8449415782262895, 'fitness': 90.1335319430667, 'individual_gain': 60}"
