n_gen;avg_fitness;min_fitness;max_fitness;std_fitness;avg_mut_step_size;std_mut_step_size;best_individual
0;87.15648090382622;86.12628484395722;91.16628484395721;1.119990885249933;1.0012969244781593;0.02661848439307152;"{'weights_and_biases': array([-1.52814594,  1.71756883,  0.05281883, ..., -1.38426931,
        1.30469636, -0.16090406]), 'mut_step_size': 0.9941926079785343, 'fitness': 91.16628484395721, 'individual_gain': 71.80000000000027}"
1;88.37024853641678;86.15858578874555;92.33598249381268;1.7905871490496565;0.9981678730245396;0.05451911160611152;"{'weights_and_biases': array([-1.45637251,  2.25822033,  0.60886837, ..., -2.38473928,
        1.87609686, -0.51664805]), 'mut_step_size': 0.9713113475322106, 'fitness': 92.09297711225776, 'individual_gain': 82.00000000000017}"
2;88.94696534919632;87.13935834262664;92.33598249381268;1.7579956923281934;0.9852979684186585;0.06481829289061669;"{'weights_and_biases': array([-0.20236981,  3.57708846,  1.12599279, ..., -2.71154466,
       -0.05572562, -0.9197575 ]), 'mut_step_size': 1.027183941707172, 'fitness': 92.13531660910581, 'individual_gain': 82.60000000000016}"
3;90.39722369878389;87.80811752271651;92.57959913428287;1.3685011815443937;1.0334163321858136;0.0658772020981768;"{'weights_and_biases': array([ 0.92895136,  6.65614091,  0.34785262, ..., -0.25006961,
        0.92828058, -1.8748324 ]), 'mut_step_size': 1.041096063302904, 'fitness': 92.57959913428287, 'individual_gain': 82.00000000000017}"
4;89.9857309185772;87.33457939139345;92.76322890233344;1.5775989701387834;1.0477408022447912;0.07138902203831016;"{'weights_and_biases': array([ 0.0873115 ,  6.45805572, -0.91059099, ..., -0.42797059,
        0.29342105, -5.36683282]), 'mut_step_size': 1.01654190178464, 'fitness': 92.76322890233344, 'individual_gain': 83.80000000000015}"
5;90.72500857594491;89.1822695528341;92.9038995977956;0.9715067082602618;1.0813716465013483;0.059936466279474014;"{'weights_and_biases': array([ 1.4311731 , 11.89735496,  3.00246023, ..., -3.06241347,
        0.1118935 , -3.88998459]), 'mut_step_size': 0.9714733264923199, 'fitness': 92.62109822612273, 'individual_gain': 83.80000000000015}"
6;90.30968718229515;88.44417543756781;92.9038995977956;1.238077585937664;1.067791906276936;0.0849533064142935;"{'weights_and_biases': array([ 1.4311731 , 11.89735496,  3.00246023, ..., -3.06241347,
        0.1118935 , -3.88998459]), 'mut_step_size': 0.9714733264923199, 'fitness': 92.62109822612273, 'individual_gain': 83.80000000000015}"
7;90.86848578867726;89.0274273611744;92.21598249381267;1.0087908422594076;1.0907800545909938;0.08282870992069528;"{'weights_and_biases': array([ 1.89234419, 11.11048946,  0.51989115, ..., -2.29020381,
        1.9967206 ,  0.65442291]), 'mut_step_size': 1.0784182859806202, 'fitness': 92.1192564842077, 'individual_gain': 79.0000000000002}"
8;90.16117876330303;88.05854308107202;93.06679402095823;1.3484638728101663;1.1088535183489905;0.15044814178393556;"{'weights_and_biases': array([ 7.36704648, 13.64144609, -1.15523416, ..., -0.49356147,
        0.31503204, -5.10147314]), 'mut_step_size': 1.1340009882984319, 'fitness': 93.06679402095823, 'individual_gain': 83.80000000000015}"
9;90.58257016478609;87.7579150932834;93.06679402095823;1.6559450204298904;1.1136636152893573;0.1663846043846158;"{'weights_and_biases': array([ 7.36704648, 13.64144609, -1.15523416, ..., -0.49356147,
        0.31503204, -5.10147314]), 'mut_step_size': 1.1340009882984319, 'fitness': 93.06679402095823, 'individual_gain': 83.80000000000015}"
