n_gen;avg_fitness;min_fitness;max_fitness;std_fitness;avg_mut_step_size;std_mut_step_size;best_individual
0;12.618601283940698;-6.182084906716632;90.32482618476618;30.557121811655943;1.0;0.0;"{'weights_and_biases': array([0.90109399, 0.59793683, 0.40730818, ..., 0.4355863 , 0.39610519,
       0.5400628 ]), 'mut_step_size': 1.0, 'fitness': 90.32482618476618, 'individual_gain': 54}"
1;89.88966710898657;87.99051384715858;91.39051384715856;0.6559654935866586;1.0013437267411347;0.0206676382950682;"{'weights_and_biases': array([ 0.0762058 ,  0.34258539,  0.01231111, ...,  0.99660835,
       -0.33188557, -0.94298164]), 'mut_step_size': 0.9999999999999999, 'fitness': 91.39051384715857, 'individual_gain': 66}"
2;90.13283034621712;89.33740496697304;91.8727463148428;0.4225795159258289;0.9957278739958074;0.0455830858535457;"{'weights_and_biases': array([ 0.0762058 ,  0.34258539,  0.01231111, ...,  0.99660835,
       -0.33188557, -0.94298164]), 'mut_step_size': 0.9999999999999999, 'fitness': 91.79605369405454, 'individual_gain': 68}"
3;90.36542004429708;89.79605369405454;92.51240366476762;0.4839568330409464;0.9902747762699792;0.0636158100502832;"{'weights_and_biases': array([ 4.51841602,  2.81761822,  0.24852919, ..., -5.78037201,
       -2.13240765, -0.75186647]), 'mut_step_size': 0.954689026082788, 'fitness': 92.51240366476762, 'individual_gain': 76}"
4;90.96812971785852;90.17964417492168;92.51240366476762;0.7751142015584086;0.9806141725254502;0.0768975639262347;"{'weights_and_biases': array([-1.35768291,  1.07202431,  1.33581648, ...,  0.19309359,
       -0.01391083, -1.84758035]), 'mut_step_size': 1.0133253264593487, 'fitness': 92.39051384715857, 'individual_gain': 76}"
5;91.7632172135721;90.59605369405452;92.8727463148428;0.5247749651236802;0.9517272582145554;0.1439436660480154;"{'weights_and_biases': array([ -2.18397273,  17.50865534,   7.36364097, ...,  -6.73044346,
       -13.12300156,   4.3275009 ]), 'mut_step_size': 0.6166512012399905, 'fitness': 92.36164533066625, 'individual_gain': 80}"
6;91.95197951245603;91.20278772623588;93.0727463148428;0.4117763830864609;0.764074459643102;0.2722747300565855;"{'weights_and_biases': array([  4.15979635,  21.20709686,   5.00002572, ...,  -3.24983376,
       -20.11489176,   3.10536744]), 'mut_step_size': 0.21749094852904668, 'fitness': 92.93109579777976, 'individual_gain': 80}"
7;92.28304013347868;91.78936470590374;93.4727463148428;0.374687707863961;0.5577399377498063;0.4234800382186978;"{'weights_and_biases': array([  5.01794356,  15.42609594,   3.80452345, ...,  -5.32160716,
       -15.29479158,   2.25065496]), 'mut_step_size': 0.5146559494110159, 'fitness': 93.4727463148428, 'individual_gain': 84}"
8;92.7451401908377;92.33740496697304;93.60150296873417;0.3305030955607785;0.420863057879242;0.3241559780720683;"{'weights_and_biases': array([  4.29144054,  14.09390833,   4.30185836, ...,  -3.69341203,
       -15.27261654,   1.60553186]), 'mut_step_size': 0.4629642140155221, 'fitness': 93.60150296873417, 'individual_gain': 88}"
9;92.89244337415708;92.49405452609942;93.73740496697305;0.3480639784079669;0.4534021791536065;0.1300030159693967;"{'weights_and_biases': array([  5.62926662,  13.49862659,   4.76576432, ...,  -4.31499541,
       -14.85737052,   1.42029164]), 'mut_step_size': 0.4734855141460014, 'fitness': 93.60150296873417, 'individual_gain': 88}"
10;93.12107115229738;92.52482618476616;93.9959933129232;0.4314367980440963;0.4803049760649628;0.100356981980703;"{'weights_and_biases': array([  4.90098114,  13.79006286,   2.80019566, ...,  -2.05994005,
       -14.02986463,   1.94230669]), 'mut_step_size': 0.39400589515912143, 'fitness': 93.9959933129232, 'individual_gain': 92}"
11;92.8567115373026;92.1124036647676;93.93740496697303;0.5270074221724601;0.4581313728648602;0.0856404904846812;"{'weights_and_biases': array([  4.7173082 ,  14.67753827,   1.86948264, ...,  -2.1238567 ,
       -14.22874285,   0.80358638]), 'mut_step_size': 0.3867184637990528, 'fitness': 93.93740496697303, 'individual_gain': 90}"
