n_gen;max_fitness;avg_fitness;best_individual_gain
0;92.75061166337204;24.0604761834872;82.60000000000016
1;92.26425778641311;22.548218546186245;80.20000000000019
2;93.33193985886489;30.247777355089706;88.00000000000011
3;92.26818173229012;32.20219221839742;86.80000000000013
4;94.03821644970793;36.233580380787444;92.20000000000007
5;92.25313081588583;37.266817709267144;83.80000000000015
6;92.95419793370402;42.38877240821099;85.60000000000014
7;92.74254710353532;43.504874888563386;82.60000000000016
8;93.01052820481506;38.97430969454975;86.20000000000013
9;92.8105138471586;46.86296788793165;80.20000000000019
10;93.57853908213777;47.317107895597125;91.00000000000009
11;92.84051778424039;49.063002627407045;85.00000000000014
12;93.24698639161586;47.466247453208055;90.40000000000009
13;93.49520306650935;48.84132766304089;89.8000000000001
14;93.6310257618388;43.86572344718961;92.80000000000007
15;93.61357331188756;42.30810218150117;92.80000000000007
16;92.69921377653415;45.02366626719529;85.60000000000014
17;92.53946500072773;46.816501639629415;79.6000000000002
18;93.55703951986406;42.85329197525086;92.20000000000007
19;93.71547959267731;43.663034583867095;92.80000000000007
20;93.50751081973137;35.99098028493383;91.60000000000008
21;93.05931836898449;31.59138018192405;86.20000000000013
22;94.15740496697305;35.321590264289114;92.20000000000007
23;92.36443510891827;32.025083173618704;85.00000000000014
24;92.37455310235678;30.32150491120705;80.20000000000019
