n_gen;max_fitness;avg_fitness;best_individual_gain
0;89.13214184093668;10.290790704251348;44
1;90.46728120673463;7.978304913726729;58
2;90.36956207860757;11.130523031819719;54
3;91.13703951986405;14.635090567905289;68
4;90.97237888630936;18.104569122411068;66
5;91.13703951986405;20.505395639092786;68
6;91.54772657195336;22.42733506511915;68
7;88.69669509194092;21.117206589502317;40
8;88.6769900208616;24.67509056553169;40
9;87.71936107665802;24.953340801956877;32
10;91.54772657195336;28.481362790251506;68
11;91.54772657195336;26.031286073336304;68
12;89.86246192029868;24.068333827074497;52
13;92.53214184093667;25.483401307792988;78
14;91.95809292906188;25.527900301822296;76
15;90.45482255552044;25.942174193068727;60
16;92.53214184093667;27.10508865378827;78
17;91.95809292906188;21.207833311370234;76
18;91.95809292906188;20.720863442288735;76
19;91.85092391510479;20.94113337384939;74
20;91.65873645484157;21.226446310443606;72
21;91.7510257618388;19.539316897378306;74
22;91.93357331188756;16.76900877145956;76
23;92.54041448585585;19.878532913352277;80
24;88.37065437104556;18.013641341795736;38
