n_gen;max_fitness;avg_fitness;best_individual_gain
0;92.64317193830047;8.589845107067399;82
1;92.65873645484157;6.9974117584897355;82
2;92.65873645484157;7.686528053346049;82
3;92.65873645484157;13.123261524038986;82
4;92.18272016318508;15.10213575254569;72
5;90.1959933129232;16.810879645083013;54
6;93.68801221164345;19.013316453891502;88
7;92.33193985886487;19.379411622150286;78
8;90.1959933129232;21.886436755712474;54
9;92.18272016318508;24.576645394865587;72
10;89.27842158035618;26.280741810040023;52
11;92.33214184093667;29.682437285023795;76
12;91.83547959267732;27.139603759917836;74
13;92.33214184093667;32.88062954105237;76
14;92.33214184093667;27.11609279639725;76
15;92.06728120673463;25.81161380106098;74
16;92.33214184093667;25.497642346123058;76
17;92.06728120673463;26.361148846583774;74
18;90.94375419465169;19.636711472561966;60
19;90.25833644349734;18.67810355378549;54
20;90.25833644349734;18.09263026049886;54
21;90.94375419465169;14.640313605371718;60
22;92.0354795926773;15.837477868481646;76
23;91.83547959267732;13.319083596140695;74
24;92.91520306650935;12.490262584799934;84
