n_gen;max_fitness;avg_fitness;best_individual_gain
0;75.35809292906188;7.014884471700521;-10.0
1;91.03931836898447;8.510675816497027;66
2;91.03931836898447;11.249280278682656;66
3;91.03931836898447;14.832665822334983;66
4;89.98687189361192;17.597074857857024;56
5;91.83547959267732;22.4454389280113;74
6;91.03931836898447;21.638989966694194;66
7;89.93703951986404;24.995729695843714;56
8;92.32353644806848;26.430738651004912;78
9;91.83547959267732;26.919935167824775;74
10;90.82784596782224;30.13008607580548;64
11;89.65873645484157;27.025729422610002;52
12;89.83931836898448;25.87879541270627;54
13;90.49173230259879;26.213328026317075;58
14;91.05766574803519;20.404213546573732;64
15;90.39605369405454;17.689254871360284;54
16;89.66420156294973;20.87362503029298;48
17;91.66420156294973;19.53321761209017;68
18;92.88657125383503;18.99468969402523;84
19;92.88657125383503;12.821591311430085;84
20;91.08679402095822;17.12899633583433;64
21;92.27454706086822;17.69712146286376;78
22;92.65873645484157;18.73003681918869;82
23;92.56521039683075;20.439032461673378;82
24;92.56521039683075;15.946695331869961;82
