n_gen;max_fitness;avg_fitness;best_individual_gain
0;89.08657125383502;11.661890396491264;46
1;91.93357331188756;11.830067585357748;76
2;91.84317193830047;16.569941866250616;74
3;92.07274631484279;18.286135682564783;70
4;91.76355803717006;19.419382986994954;70
5;93.08188000615579;23.052236524403213;84
6;91.71859563501553;22.524357220473835;68
7;91.77959913428286;24.10154178148923;74
8;91.77959913428286;28.693850129441874;74
9;90.72772932632853;25.86686548126178;62
10;89.83547959267732;29.444057948059697;54
11;92.56878821817864;26.62562729893445;82
12;88.99051384715858;21.335119349003907;42
13;92.76627799644577;21.089454872990125;82
14;92.76627799644577;23.239543318916347;82
15;92.57237888630937;18.610170339164423;82
16;92.76627799644577;21.595989255243058;82
17;92.76627799644577;17.225754609754468;82
18;92.76627799644577;20.290570155216475;82
19;92.6825471035353;15.299754130701475;82
20;92.56878821817864;14.956333495233805;82
21;92.65092391510478;17.97522350392897;82
22;88.22027017401378;15.467065522701793;38
23;89.96627799644577;14.382148760736595;54
24;89.96627799644577;5.197104234060611;54
