n_gen;max_fitness;avg_fitness;best_individual_gain
0;89.8825471035353;10.674687097393525;54
1;90.76164533066625;8.891948888687924;64
2;92.08657125383502;13.545720959460708;76
3;92.08657125383502;16.950222375987128;76
4;91.9266767328285;17.58723637625065;76
5;92.17237888630936;19.30851960726003;78
6;92.17237888630936;19.92116396877603;78
7;92.17237888630936;22.391507046826373;78
8;92.08657125383502;25.40230481731525;76
9;92.08657125383502;24.25479509091301;76
10;92.08657125383502;26.28438803835617;76
11;89.84317193830047;25.656909409079166;54
12;92.69466846406765;26.030972521242653;82
13;92.57237888630937;27.29739628116759;82
14;92.13357331188756;26.092062120539634;78
15;92.57237888630937;23.90018915845643;82
16;92.03931836898447;19.340409983667186;76
17;92.03931836898447;20.466207349830967;76
18;91.71859563501553;20.21416250855225;68
19;93.04094470078547;19.519955957032845;82
20;93.04094470078547;16.644139844495488;82
21;93.04094470078547;16.209684522219096;82
22;93.04094470078547;18.30551777776668;82
23;91.2825471035353;19.74361745287701;68
24;93.04094470078547;16.643398956532405;82
