n_gen;max_fitness;avg_fitness;best_individual_gain
0;90.21261419415924;11.486169201971604;54
1;87.72700044143625;9.88981880961216;30
2;91.30283177470679;14.027393695664781;68
3;92.9361681949744;15.770952009768374;84
4;90.48188000615578;15.659017428910238;58
5;92.05092391510478;19.100260555759153;76
6;92.72700044143625;22.46553935591378;80
7;92.72700044143625;24.442992428855018;80
8;92.36304739758637;24.860677877488857;74
9;93.13214184093668;28.93788499422579;84
10;92.03931836898447;32.16629838200155;76
11;92.7001335721758;32.05662899266577;78
12;91.94250462797223;27.78634565690974;72
13;92.38506424239101;28.110988013844143;76
14;92.36304739758637;25.2837201945302;74
15;92.7001335721758;22.12400959956193;78
16;91.84417294239874;20.32772829543176;68
17;90.61821644970792;15.314352502040826;58
18;87.5575822894782;14.299516415937717;30
19;91.9266767328285;15.805941708337519;76
20;92.07853908213775;19.52969427239561;76
21;91.9266767328285;16.577389000838362;76
22;92.05482255552043;18.95673570507819;76
23;90.4371553697401;15.006256284752723;54
24;91.92482618476618;11.752062422552662;70
