n_gen;max_fitness;avg_fitness;best_individual_gain
0;48.94375419465169;3.179678946786711;-40.0
1;48.94375419465169;2.9576551090308922;-40.0
2;57.40157804100163;6.133370986853593;-30.0
3;85.6572006248733;7.25333163092116;16
4;74.86227294591376;9.089046351748697;-10.0
5;85.6572006248733;10.843886260913678;16
6;66.20090734553948;11.18154857970841;-20.0
7;86.78687189361193;13.00059503534049;24
8;86.78687189361193;15.043078794004915;24
9;87.82619038813074;15.892463345588135;38
10;74.86227294591376;12.081837312308492;-10.0
11;87.82619038813074;14.731648249135944;38
12;84.61791509328336;11.656199258150629;8
13;85.50693855665945;13.15478167424925;10
14;87.82619038813074;13.530485444353202;38
15;66.21003982910274;9.79216163807957;-20.0
16;66.21003982910274;10.553849588205535;-20.0
17;66.40157804100163;12.207591467665377;-20.0
18;85.50693855665945;10.67712639583763;10
19;66.3978811791203;10.437721253732708;-20.0
20;86.98322890233342;8.085050293570095;26
21;66.08379793739256;10.962967568439868;-20.0
22;57.40157804100163;10.111640449793429;-30.0
23;65.9669137782012;9.243283230596662;-20.0
24;84.3335319430667;8.143874149939496;2
